               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092215,             0.03904,            0.051009,           0.0055883,             0.69183,            0.027053,           0.0069731,            0.059569,            0.021316,            0.037263,            0.070211,           0.0033099,           0.0033099
                   1,            0.065584,            0.043076,             0.03666,             0.24783,             0.13194,            0.067321,            0.025979,            0.054914,            0.019119,            0.027189,            0.039992,            0.006424,            0.006424
                   2,            0.060357,            0.037445,             0.02134,             0.52504,             0.21372,             0.18017,            0.061117,             0.05063,            0.017102,            0.022981,           0.0095528,           0.0093181,           0.0093181
                   3,            0.056686,            0.036631,            0.013005,             0.23293,             0.28061,             0.20103,            0.069309,            0.052964,             0.01791,            0.017446,             0.00901,             0.00901,             0.00901
                   4,            0.053783,            0.035437,           0.0095117,             0.48158,             0.45043,             0.44853,             0.18458,            0.043098,            0.016495,           0.0079288,             0.00901,             0.00901,             0.00901
                   5,            0.050397,            0.034344,           0.0090915,             0.53888,             0.47036,             0.44197,             0.18816,            0.043018,            0.016832,           0.0070736,             0.00868,             0.00868,             0.00868
                   6,            0.049868,            0.035836,           0.0088761,             0.51675,             0.43591,              0.4321,             0.18174,            0.043737,            0.017744,           0.0080557,             0.00835,             0.00835,             0.00835
                   7,            0.047877,            0.035347,           0.0062527,              0.5431,             0.55493,             0.55185,             0.24791,            0.036258,            0.016537,           0.0028795,             0.00802,             0.00802,             0.00802
                   8,            0.046268,            0.035548,           0.0063621,             0.55423,             0.51079,             0.55425,             0.23957,            0.038094,            0.015597,           0.0030667,             0.00769,             0.00769,             0.00769
                   9,            0.044767,             0.03425,            0.005096,             0.60674,             0.54798,             0.60051,             0.27676,            0.035941,            0.015247,           0.0029983,             0.00736,             0.00736,             0.00736
                  10,            0.044039,              0.0342,           0.0059915,             0.55563,             0.56258,             0.60094,              0.2611,            0.036942,            0.015983,           0.0036266,             0.00703,             0.00703,             0.00703
                  11,            0.043085,             0.03475,           0.0045649,             0.57339,             0.56539,             0.65675,             0.29858,            0.034874,            0.015273,           0.0025455,              0.0067,              0.0067,              0.0067
                  12,             0.04188,            0.034692,            0.004083,             0.57388,              0.5878,             0.58634,             0.27021,            0.037018,            0.015803,           0.0027014,             0.00637,             0.00637,             0.00637
                  13,            0.041618,            0.033624,           0.0041039,             0.59005,             0.67091,             0.66978,             0.30076,            0.034713,            0.015111,           0.0016753,             0.00604,             0.00604,             0.00604
                  14,            0.040742,            0.032576,           0.0051488,             0.61323,             0.56992,             0.61372,              0.2914,            0.036355,             0.01563,           0.0036222,             0.00571,             0.00571,             0.00571
                  15,            0.040654,            0.033923,           0.0044386,             0.76669,             0.57552,             0.66273,             0.29451,            0.033763,            0.015127,           0.0016764,             0.00538,             0.00538,             0.00538
                  16,            0.039704,             0.03485,           0.0039915,             0.55432,              0.6307,             0.63562,             0.31294,            0.033515,            0.014854,           0.0022741,             0.00505,             0.00505,             0.00505
                  17,            0.038447,            0.032576,           0.0029733,             0.57696,              0.5943,             0.63304,             0.31416,            0.033033,            0.015052,           0.0023608,             0.00472,             0.00472,             0.00472
                  18,            0.038596,            0.033069,           0.0032353,             0.66119,             0.61609,             0.67188,             0.33557,            0.032451,            0.014956,           0.0022413,             0.00439,             0.00439,             0.00439
                  19,            0.037913,            0.032769,           0.0030143,             0.62947,             0.64794,             0.68436,             0.31421,             0.03152,            0.014668,           0.0021831,             0.00406,             0.00406,             0.00406
                  20,            0.036633,             0.03236,           0.0026546,             0.64462,             0.61304,              0.6511,             0.31283,            0.033328,            0.015357,           0.0031917,             0.00373,             0.00373,             0.00373
                  21,            0.037098,            0.032858,           0.0029721,             0.57996,               0.666,             0.67771,             0.34078,            0.032219,            0.014699,           0.0021581,              0.0034,              0.0034,              0.0034
                  22,            0.037134,            0.032052,           0.0021346,             0.60497,             0.64972,             0.66688,             0.32979,            0.032185,            0.015036,           0.0029066,             0.00307,             0.00307,             0.00307
                  23,            0.036597,             0.03162,           0.0027931,              0.6637,              0.6564,              0.7012,             0.35639,             0.03159,            0.014264,           0.0019908,             0.00274,             0.00274,             0.00274
                  24,            0.035648,            0.031793,           0.0024292,             0.58213,             0.56989,             0.60542,             0.27839,            0.035634,            0.015904,           0.0025121,             0.00241,             0.00241,             0.00241
                  25,            0.034887,            0.032627,           0.0029128,             0.61161,             0.67454,             0.67913,             0.35308,              0.0304,            0.014397,           0.0025394,             0.00208,             0.00208,             0.00208
                  26,            0.034388,            0.032358,           0.0022137,             0.62596,             0.68567,             0.70675,             0.36473,            0.030233,            0.014292,            0.001815,             0.00175,             0.00175,             0.00175
                  27,            0.034147,             0.03184,           0.0021361,             0.62942,             0.68094,             0.70868,             0.36393,            0.030557,            0.014173,           0.0016503,             0.00142,             0.00142,             0.00142
                  28,            0.033731,            0.031806,           0.0022692,              0.6403,             0.66016,             0.70332,             0.36814,             0.03022,             0.01417,            0.001983,             0.00109,             0.00109,             0.00109
                  29,            0.034186,            0.031292,           0.0018606,             0.66804,             0.67614,             0.71723,             0.36835,            0.030214,            0.014117,           0.0018648,             0.00076,             0.00076,             0.00076
